mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.7188528378804526,0.10660556568784021,0.045835653940836586,0.01515822749768093,0.1,8,0,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 0}",0.28571428571428575,0.6666666666666665,0.3333333333333333,0.42857142857142855,0.1694774325719255,9
4.30859915415446,0.17033593118595056,0.07448379198710124,0.03079976716169143,0.1,8,0.1,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 0.1}",0.5,0.5454545454545454,0.25,0.4318181818181818,0.12989718332941094,8
3.704646905263265,0.1625934275992492,0.06385119756062825,0.042257625707861256,0.1,8,0.5,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 0.5}",0.4000000000000001,0.3636363636363636,0.22222222222222224,0.32861952861952864,0.07668493384774012,22
3.979310671488444,0.14251824552014988,0.061003684997558594,0.015903784928145415,0.1,8,1,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 1}",0.4000000000000001,0.4615384615384615,0.2,0.35384615384615387,0.111648928497832,21
5.8691465854644775,0.35939674239412395,0.07166457176208496,0.016636858618995474,0.1,10,0,"{'learning_rate': 0.1, 'max_depth': 10, 'reg_lambda': 0}",0.28571428571428575,0.28571428571428575,0.3333333333333333,0.3015873015873016,0.022447834323382432,31
6.47489595413208,0.5638976018048313,0.07650017738342285,0.005961605347485326,0.1,10,0.1,"{'learning_rate': 0.1, 'max_depth': 10, 'reg_lambda': 0.1}",0.25,0.4000000000000001,0.28571428571428575,0.31190476190476196,0.06397632782164005,26
7.223593235015869,0.1657567543410639,0.09759267171223958,0.022006847295243926,0.1,10,0.5,"{'learning_rate': 0.1, 'max_depth': 10, 'reg_lambda': 0.5}",0.20000000000000004,0.4000000000000001,0.5,0.3666666666666667,0.1247219128924647,16
7.129209121068318,0.14666011928354886,0.07628766695658366,0.014276309290921276,0.1,10,1,"{'learning_rate': 0.1, 'max_depth': 10, 'reg_lambda': 1}",0.3636363636363636,0.3333333333333333,0.4444444444444445,0.38047138047138046,0.04689693022620918,13
267.91938702265423,14.322985266820462,0.10933248202006023,0.027780196926549715,0.1,16,0,"{'learning_rate': 0.1, 'max_depth': 16, 'reg_lambda': 0}",0.28571428571428575,0.25,0.3333333333333333,0.2896825396825397,0.034136211377153274,32
244.02934567133585,17.214962970204905,0.1074844201405843,0.012658223259504988,0.1,16,0.1,"{'learning_rate': 0.1, 'max_depth': 16, 'reg_lambda': 0.1}",0.25,0.22222222222222224,0.28571428571428575,0.2526455026455026,0.025987940085169987,38
229.76860419909158,9.725230140243795,0.08336337407430013,0.04217786113962457,0.1,16,0.5,"{'learning_rate': 0.1, 'max_depth': 16, 'reg_lambda': 0.5}",0.1818181818181818,0.3076923076923077,0.4444444444444445,0.31131831131831134,0.10724737566946652,28
235.6807175477346,17.971462831133238,0.06762949625651042,0.023018053996179406,0.1,16,1,"{'learning_rate': 0.1, 'max_depth': 16, 'reg_lambda': 1}",0.16666666666666666,0.26666666666666666,0.5,0.3111111111111111,0.13966450099973926,29
3.0581061840057373,0.1802954282966863,0.06541983286539714,0.03871808676441398,0.5,5,0,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 0}",0.5714285714285715,0.33333333333333337,0.4,0.434920634920635,0.10028932697734169,7
2.5019165674845376,0.18321409363675964,0.056653340657552086,0.015306682075638865,0.5,5,0.1,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 0.1}",0.6,0.28571428571428575,0.4,0.42857142857142855,0.1298874447331986,9
