[86]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[87]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[88]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[89]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[90]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[91]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[92]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[93]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[94]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[95]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[96]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[97]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[98]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[99]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
f1_score_binary for non frauds on test set: 0.999816
f1_score_binary for frauds on test set: 0.947368
f1_score_macro on test set: 0.973592
